bucket,observations,avg_range_points,median_range_points,avg_abs_close_to_open_points,median_abs_close_to_open_points,avg_volume
321,2183,8.5135,6.75,4.2789,2.75,743.79
322,2183,8.2631,6.25,4.0283,2.5,740.05
323,2183,7.8839,6.0,3.9546,2.25,698.33
324,2183,7.8729,6.0,3.8803,2.5,697.18
325,2183,8.8907,6.75,4.4847,2.75,791.97
326,2183,8.1587,6.25,4.1164,2.5,729.04
327,2183,7.9242,6.0,3.9467,2.25,712.19
328,2183,7.7478,6.0,3.7361,2.25,701.52
329,2183,7.674,6.0,3.7089,2.25,733.1
330,2183,10.9172,8.5,5.5759,3.5,1058.71
331,2183,9.5169,7.5,4.8814,3.0,891.24
332,2183,9.223,7.25,4.6144,2.75,850.77
333,2183,8.7014,7.0,4.3325,2.5,808.27
334,2183,8.325,6.25,4.0507,2.25,784.81
335,2183,9.0038,7.25,4.4422,2.75,839.72
336,2183,8.8812,7.0,4.4731,2.5,803.22
337,2183,8.3951,6.5,4.0616,2.5,759.03
338,2183,8.4693,6.75,4.1022,2.5,766.73
339,2183,7.9527,6.25,3.8617,2.25,736.06
340,2183,9.1285,7.25,4.532,2.75,849.57
341,2183,8.6854,6.75,4.309,2.75,803.31
342,2182,8.6052,6.75,4.141,2.5,791.56
343,2182,8.1928,6.5,4.0383,2.5,756.98
344,2182,7.9102,6.25,3.859,2.5,746.23
345,2182,9.3261,7.5,4.574,3.0,873.23
346,2182,8.7159,6.75,4.3723,2.75,796.5
347,2182,8.461,6.5,4.191,2.5,760.98
348,2182,8.323,6.5,4.0856,2.5,751.78
349,2182,7.8456,6.0,3.7729,2.25,723.01
350,2182,9.2391,7.25,4.6876,3.0,845.82
351,2182,8.6471,6.75,4.2249,2.5,799.64
352,2182,8.2872,6.5,4.005,2.5,766.27
353,2182,8.032,6.25,4.0041,2.5,739.53
354,2182,7.8578,6.25,3.834,2.5,744.15
355,2182,8.6515,7.0,4.2612,2.5,807.83
356,2182,8.0744,6.5,3.8902,2.25,750.99
357,2182,8.0809,6.5,3.9967,2.5,737.35
358,2182,8.0857,6.25,4.0345,2.5,757.23
359,2182,7.8199,6.0,3.8279,2.25,752.23
360,2182,10.3868,8.0,5.288,3.25,1068.37
361,2182,9.1433,7.5,4.5473,3.0,918.11
362,2182,9.0261,7.25,4.4922,2.75,903.13
363,2182,8.6295,6.75,4.3522,2.75,858.25
364,2182,8.1838,6.5,3.9793,2.5,838.69
365,2182,9.2602,7.25,4.6336,2.75,920.89
366,2182,8.8901,7.0,4.4845,2.75,871.58
367,2182,8.6471,6.75,4.3297,2.5,849.46
368,2182,8.4087,6.5,4.1424,2.5,828.49
369,2182,8.2,6.5,4.0008,2.5,822.82
370,2181,9.3999,7.5,4.8127,3.0,964.25
371,2181,8.7415,6.75,4.3487,2.75,889.49
372,2181,8.8169,7.0,4.5183,3.0,888.13
373,2181,8.3051,6.5,4.0809,2.5,874.69
374,2181,8.4731,6.75,4.2519,2.5,881.14
375,2181,10.2887,8.5,5.2041,3.25,1102.02
376,2181,9.3819,7.25,4.7506,2.75,935.77
377,2181,8.9804,7.25,4.353,2.75,903.54
378,2181,8.8606,7.25,4.344,2.75,897.22
379,2181,9.0237,7.25,4.3001,3.0,930.21
380,2181,18.1374,15.0,9.8612,6.25,2173.06
381,2181,10.7961,9.0,5.2312,3.25,1282.87
382,2180,9.9284,8.25,4.6873,3.0,1198.62
383,2180,9.8779,8.0,4.9297,3.0,1208.19
384,2180,13.5875,11.25,7.0491,4.25,1862.4
385,2180,13.8034,11.625,6.9344,4.75,2102.83
386,2180,9.3943,8.0,4.4596,3.0,1432.36
387,2180,9.056,7.5,4.2734,2.75,1536.19
388,2180,8.5788,7.25,4.1632,2.75,1864.38
389,2180,15.4322,13.25,6.5847,4.5,6519.23
390,2180,14.5571,11.75,6.9995,4.5,3012.43
391,2180,10.8904,7.25,5.5289,2.75,1358.83
392,2180,8.614,6.0,4.3164,2.25,909.96
393,2180,7.3567,5.25,3.6339,2.0,716.37
394,2180,6.9776,5.0,3.4287,2.0,631.97
395,2180,8.4759,5.5,4.4745,2.25,706.65
396,2180,6.4961,4.5,3.1858,1.75,515.03
397,2179,6.0546,4.25,3.0397,1.75,456.78
398,2179,5.6642,4.0,2.7803,1.5,412.13
399,2179,5.4826,4.0,2.6549,1.5,398.72
400,2179,5.893,4.25,2.8547,1.75,427.56
401,2179,5.1711,3.5,2.6364,1.5,325.75
402,2178,5.011,3.625,2.425,1.5,316.55
403,2178,5.91,4.25,3.1048,1.75,392.27
404,2178,6.3432,4.875,2.9262,1.75,546.7
405,2178,6.5605,4.5,3.4629,2.0,286.98
406,2178,4.886,3.25,2.5212,1.25,189.27
407,2178,4.3696,2.75,2.2897,1.25,157.24
408,2178,4.1312,2.5,2.1199,1.0,148.3
409,2178,3.8935,2.5,2.0689,1.0,135.02
410,2178,4.7439,2.5,2.4998,1.0,153.26
411,2178,4.1571,2.5,2.1384,1.0,143.35
412,2178,3.8998,2.25,2.064,1.0,130.01
413,2178,3.6157,2.25,1.8697,1.0,117.54
414,2178,3.491,2.25,1.78,1.0,112.87
415,2177,3.703,2.25,1.9028,1.0,120.01
416,2177,3.4908,2.25,1.7873,1.0,107.93
417,2177,3.3383,2.25,1.7079,0.75,105.03
418,2177,3.356,2.0,1.7766,0.75,106.68
419,2177,3.3257,2.0,1.667,0.75,106.74
420,2177,4.6156,2.75,2.2463,1.0,165.2
421,2175,3.8074,2.25,1.9239,1.0,128.5
422,2172,3.432,2.0,1.7179,1.0,111.89
