acct,eval_mnq,funded_mnq,target,cost,life_paid_rate,life_avg_days,life_avg_trader_payout,life_avg_payout_count,mean_net,median_net,p10,p25,p75,profit_prob,ruin_prob,mean_attempts,mean_payouts,first_prob
50,8,7,1000,90,0.18462109955423478,22.02080237741456,2506.237424547284,2.784708249496982,2813.022,3150.0,-990,540.0,4500.0,0.8048,0.1086,12.1862,4.3442,0.8854
50,8,7,1500,90,0.1664190193164933,26.667533432392272,4037.9464285714284,2.9910714285714284,3140.766,2790.0,-990,-180,6030.0,0.7312,0.1338,10.5556,3.0302,0.7666
50,8,7,2000,90,0.15341753343239228,31.716567607726596,5404.3583535108955,3.002421307506053,2611.494,1260.0,-990,-450,4680.0,0.5996,0.1522,9.8274,1.9422,0.6128
50,8,8,1000,90,0.17979197622585438,21.222511144130756,2608.884297520661,2.8987603305785123,3020.526,3330.0,-990,630.0,4680.0,0.8054,0.1188,12.4866,4.6048,0.8804
50,8,8,1500,90,0.16456166419019316,24.647473997028232,4086.568848758465,3.0270880361173815,3569.94,3600.0,-990,90.0,6210.0,0.7536,0.1396,11.151,3.3878,0.7908
50,8,8,2000,90,0.1474739970282318,27.669390787518573,5458.942065491184,3.0327455919395465,3134.79,1800.0,-990,-540,6210.0,0.6142,0.1734,10.465,2.2648,0.63
50,8,10,1000,90,0.14338781575037146,18.049034175334324,2765.2849740932643,3.0725388601036268,2811.528,3240.0,-990,-270.0,4590.0,0.7254,0.196,13.7168,4.4956,0.8172
50,8,10,1500,90,0.13075780089153047,19.303120356612183,3996.306818181818,2.960227272727273,3478.266,3060.0,-990,-630,6210.0,0.7008,0.2172,12.8986,3.4364,0.7632
50,8,10,2000,90,0.12592867756315007,22.36329866270431,5697.345132743363,3.1651917404129795,3806.964,2340.0,-990,-900,8190.0,0.6482,0.225,11.6324,2.6966,0.6722
50,8,12,1000,90,0.14041604754829123,17.13335809806835,2657.1428571428573,2.9523809523809526,2770.848,3060.0,-990,-360.0,4680.0,0.7222,0.2008,14.2288,4.5016,0.8162
50,8,12,1500,90,0.13150074294205052,18.76448736998514,3988.9830508474574,2.9548022598870056,3720.312,4050.0,-990,-360,6480.0,0.7158,0.2092,13.2032,3.636,0.7786
50,8,12,2000,90,0.1188707280832095,19.960995542347696,5349.375,2.971875,3964.14,2430.0,-990,-990,8190.0,0.6702,0.2408,12.434,2.824,0.7026
50,9,7,1000,90,0.18090638930163447,21.335809806835066,2611.29363449692,2.9014373716632442,2959.776,3330.0,-990,720.0,4590.0,0.8066,0.1168,12.4836,4.537,0.883
50,9,7,1500,90,0.1612184249628529,25.37890044576523,4096.658986175115,3.0345622119815667,3201.21,2880.0,-990,-270.0,6120.0,0.725,0.142,10.949,3.1012,0.7666
50,9,7,2000,90,0.1474739970282318,30.539375928677565,5531.486146095718,3.0730478589420653,2535.318,990.0,-990,-540,4770.0,0.5722,0.1722,10.0818,1.9126,0.5882
50,9,8,1000,90,0.17830609212481427,20.545319465081725,2673.75,2.970833333333333,3179.646,3510.0,-990,810.0,4770.0,0.8134,0.1238,12.7986,4.8128,0.878
50,9,8,1500,90,0.16307578008915305,23.968424962852897,4179.157175398634,3.0956719817767655,3786.732,4230.0,-990,270.0,6300.0,0.7668,0.1412,11.3762,3.5634,0.8012
50,9,8,2000,90,0.1448736998514116,27.284918276374444,5635.384615384615,3.1307692307692307,3144.942,1620.0,-990,-540,6300.0,0.6026,0.1794,10.6162,2.278,0.6184
50,9,10,1000,90,0.13967310549777118,17.197622585438335,2793.351063829787,3.103723404255319,2906.388,3240.0,-990,-270.0,4770.0,0.722,0.205,14.2208,4.6514,0.8164
50,9,10,1500,90,0.13038632986627044,18.800891530460625,4138.461538461538,3.0655270655270654,3713.274,4320.0,-990,-630.0,6480.0,0.7056,0.2172,13.1884,3.6298,0.768
50,9,10,2000,90,0.12444279346210996,21.750742942050522,5786.865671641791,3.2149253731343284,3879.144,2340.0,-990,-900,8280.0,0.6448,0.2266,11.8144,2.7458,0.6756
50,9,12,1000,90,0.13558692421991084,16.191307578008914,2697.5342465753424,2.9972602739726026,2875.176,3150.0,-990.0,-360.0,4860.0,0.7204,0.215,14.8356,4.6782,0.8098
50,9,12,1500,90,0.12815750371471024,17.74145616641902,4003.0434782608695,2.965217391304348,3850.488,4500.0,-990,-450,6660.0,0.713,0.221,13.7188,3.7668,0.7766
