session_date,start,end,bars,open,high,low,close,volume,range_points,close_to_open_points
2017-07-18,2017-07-18 15:30:00,2017-07-18 22:59:00,435,5836.5,5898.5,5820.25,5896.5,209736,78.25,60.0
2017-07-19,2017-07-19 15:30:00,2017-07-19 22:59:00,435,5898.25,5925.0,5896.25,5919.5,199796,28.75,21.25
2017-07-20,2017-07-20 15:30:00,2017-07-20 22:59:00,435,5930.5,5935.5,5897.0,5930.75,231560,38.5,0.25
2017-07-21,2017-07-21 15:30:00,2017-07-21 22:59:00,435,5900.75,5923.75,5890.5,5923.0,198714,33.25,22.25
2017-07-24,2017-07-24 15:30:00,2017-07-24 22:59:00,435,5919.25,5954.75,5912.5,5925.25,162120,42.25,6.0
2017-07-25,2017-07-25 15:30:00,2017-07-25 22:59:00,435,5928.5,5946.25,5915.75,5934.5,201947,30.5,6.0
2017-07-26,2017-07-26 15:30:00,2017-07-26 22:59:00,435,5946.25,5958.0,5936.5,5953.0,163968,21.5,6.75
2017-07-27,2017-07-27 15:30:00,2017-07-27 22:59:00,435,5992.0,5995.75,5844.75,5905.75,490080,151.0,-86.25
2017-07-28,2017-07-28 15:30:00,2017-07-28 22:59:00,435,5879.25,5918.25,5868.25,5913.0,272977,50.0,33.75
2017-07-31,2017-07-31 15:30:00,2017-07-31 22:59:00,435,5923.0,5932.25,5870.25,5884.75,247216,62.0,-38.25
2017-08-01,2017-08-01 15:30:00,2017-08-01 22:59:00,435,5902.25,5931.25,5878.5,5930.5,189355,52.75,28.25
2017-08-02,2017-08-02 15:30:00,2017-08-02 22:59:00,435,5932.25,5935.5,5856.25,5915.0,344857,79.25,-17.25
2017-08-03,2017-08-03 15:30:00,2017-08-03 22:59:00,434,5919.25,5920.0,5877.25,5888.5,249703,42.75,-30.75
2017-08-04,2017-08-04 15:30:00,2017-08-04 22:59:00,435,5899.0,5912.0,5874.25,5897.0,218498,37.75,-2.0
2017-08-07,2017-08-07 15:30:00,2017-08-07 22:59:00,435,5908.25,5937.75,5900.5,5937.0,139212,37.25,28.75
2017-08-08,2017-08-08 15:30:00,2017-08-08 22:59:00,435,5923.25,5972.75,5907.5,5914.25,279641,65.25,-9.0
2017-08-09,2017-08-09 15:30:00,2017-08-09 22:59:00,435,5876.25,5924.5,5861.75,5924.0,307865,62.75,47.75
2017-08-10,2017-08-10 15:30:00,2017-08-10 22:59:00,435,5883.5,5886.25,5767.25,5771.5,493472,119.0,-112.0
2017-08-11,2017-08-11 15:30:00,2017-08-11 22:59:00,435,5797.25,5845.75,5783.5,5837.25,315962,62.25,40.0
2017-08-14,2017-08-14 15:30:00,2017-08-14 22:59:00,435,5878.0,5916.75,5877.75,5913.5,216583,39.0,35.5
2017-08-15,2017-08-15 15:30:00,2017-08-15 22:59:00,435,5919.0,5923.0,5895.5,5913.75,206782,27.5,-5.25
2017-08-16,2017-08-16 15:30:00,2017-08-16 22:59:00,435,5925.25,5949.5,5902.0,5920.25,250955,47.5,-5.0
2017-08-17,2017-08-17 15:30:00,2017-08-17 22:59:00,435,5899.5,5907.5,5786.5,5794.5,451985,121.0,-105.0
2017-08-18,2017-08-18 15:30:00,2017-08-18 22:59:00,435,5804.0,5835.0,5772.5,5797.0,368005,62.5,-7.0
2017-08-21,2017-08-21 15:30:00,2017-08-21 22:59:00,435,5795.75,5807.5,5752.25,5796.25,314595,55.25,0.5
2017-08-22,2017-08-22 15:30:00,2017-08-22 22:59:00,435,5819.0,5882.25,5816.75,5880.25,253058,65.5,61.25
2017-08-23,2017-08-23 15:30:00,2017-08-23 22:59:00,435,5846.25,5867.5,5841.5,5843.5,254457,26.0,-2.75
2017-08-24,2017-08-24 15:30:00,2017-08-24 22:59:00,435,5868.25,5874.25,5803.25,5846.0,322146,71.0,-22.25
2017-08-25,2017-08-25 15:30:00,2017-08-25 22:59:00,435,5857.75,5874.0,5816.5,5825.25,247410,57.5,-32.5
2017-08-28,2017-08-28 15:30:00,2017-08-28 22:59:00,435,5842.25,5856.0,5823.25,5845.75,178460,32.75,3.5
2017-08-29,2017-08-29 15:30:00,2017-08-29 22:59:00,435,5791.75,5875.5,5786.25,5869.75,254048,89.25,78.0
2017-08-30,2017-08-30 15:30:00,2017-08-30 22:59:00,435,5870.75,5944.0,5865.5,5935.0,222988,78.5,64.25
2017-08-31,2017-08-31 15:30:00,2017-08-31 22:59:00,435,5949.5,5998.0,5946.75,5995.5,229733,51.25,46.0
2017-09-01,2017-09-01 15:30:00,2017-09-01 22:59:00,434,6003.0,6013.5,5973.25,5986.5,184393,40.25,-16.5
2017-09-04,2017-09-04 15:30:00,2017-09-04 18:59:00,210,5966.25,5982.25,5963.75,5979.25,10394,18.5,13.0
2017-09-05,2017-09-05 15:30:00,2017-09-05 22:59:00,435,5969.75,5984.0,5889.5,5941.25,381538,94.5,-28.5
2017-09-06,2017-09-06 15:30:00,2017-09-06 22:59:00,435,5950.5,5965.75,5909.25,5952.0,266940,56.5,1.5
2017-09-07,2017-09-07 15:30:00,2017-09-07 22:59:00,434,5963.5,5981.5,5944.0,5969.25,212949,37.5,5.75
2017-09-08,2017-09-08 15:30:00,2017-09-08 22:59:00,435,5958.5,5961.5,5907.5,5918.75,102041,54.0,-39.75
2017-09-11,2017-09-11 15:30:00,2017-09-11 22:59:00,435,5958.75,5991.75,5958.5,5985.0,59910,33.25,26.25
2017-09-12,2017-09-12 15:42:00,2017-09-12 22:55:00,19,6008.0,6017.5,5983.25,6017.5,23,34.25,9.5
2017-09-13,2017-09-13 15:30:00,2017-09-13 22:14:00,24,5997.75,6017.5,5990.25,6017.5,49,27.25,19.75
2017-09-14,2017-09-14 15:30:00,2017-09-14 22:35:00,29,5995.25,6010.0,5975.0,5976.5,64,35.0,-18.75
2017-09-15,2017-09-15 15:35:00,2017-09-15 22:53:00,82,5978.5,6021.25,5974.5,6006.0,137,46.75,27.5
2017-09-18,2017-09-18 15:31:00,2017-09-18 22:34:00,96,6004.25,6027.0,5979.0,5997.0,357,48.0,-7.25
2017-09-19,2017-09-19 15:30:00,2017-09-19 22:41:00,85,6001.75,6013.5,5988.0,6005.25,250,25.5,3.5
2017-09-20,2017-09-20 15:31:00,2017-09-20 22:59:00,142,6006.5,6007.25,5943.0,5986.5,512,64.25,-20.0
2017-09-21,2017-09-21 15:30:00,2017-09-21 22:56:00,113,5977.75,5977.75,5929.5,5954.5,376,48.25,-23.25
2017-09-22,2017-09-22 15:30:00,2017-09-22 22:58:00,109,5930.5,5951.0,5926.25,5944.25,230,24.75,13.75
2017-09-25,2017-09-25 15:30:00,2017-09-25 22:59:00,169,5921.0,5921.75,5853.5,5889.25,716,68.25,-31.75
2017-09-26,2017-09-26 15:30:00,2017-09-26 22:53:00,147,5906.75,5921.0,5877.0,5901.25,501,44.0,-5.5
2017-09-27,2017-09-27 15:30:00,2017-09-27 22:50:00,141,5929.25,5972.25,5915.5,5949.0,599,56.75,19.75
2017-09-28,2017-09-28 15:30:00,2017-09-28 22:56:00,116,5934.5,5953.0,5922.0,5950.25,506,31.0,15.75
2017-09-29,2017-09-29 15:30:00,2017-09-29 22:50:00,134,5956.0,5994.5,5945.0,5989.0,328,49.5,33.0
2017-10-02,2017-10-02 15:30:00,2017-10-02 22:40:00,118,6000.0,6020.0,5971.0,5993.5,374,49.0,-6.5
2017-10-03,2017-10-03 15:32:00,2017-10-03 22:35:00,69,6003.5,6015.75,5992.0,6009.5,252,23.75,6.0
2017-10-04,2017-10-04 15:30:00,2017-10-04 22:47:00,120,5998.5,6025.25,5992.25,6018.25,226,33.0,19.75
2017-10-05,2017-10-05 15:30:00,2017-10-05 22:59:00,105,6037.75,6080.0,6030.0,6075.25,236,50.0,37.5
2017-10-06,2017-10-06 15:31:00,2017-10-06 22:59:00,111,6056.75,6081.5,6055.0,6078.0,198,26.5,21.25
2017-10-09,2017-10-09 15:30:00,2017-10-09 22:41:00,61,6088.25,6095.5,6067.5,6074.5,116,28.0,-13.75
2017-10-10,2017-10-10 15:30:00,2017-10-10 22:31:00,98,6095.0,6100.25,6052.0,6078.5,231,48.25,-16.5
2017-10-11,2017-10-11 15:30:00,2017-10-11 22:49:00,91,6077.5,6098.25,6071.25,6094.0,181,27.0,16.5
2017-10-12,2017-10-12 15:35:00,2017-10-12 22:59:00,131,6090.5,6108.75,6080.5,6086.0,254,28.25,-4.5
2017-10-13,2017-10-13 15:31:00,2017-10-13 22:14:00,65,6110.5,6116.0,6103.75,6112.0,153,12.25,1.5
2017-10-16,2017-10-16 15:32:00,2017-10-16 22:58:00,70,6125.5,6133.5,6111.5,6133.5,148,22.0,8.0
2017-10-17,2017-10-17 15:33:00,2017-10-17 22:59:00,52,6126.25,6137.75,6117.75,6135.0,68,20.0,8.75
2017-10-18,2017-10-18 15:30:00,2017-10-18 22:14:00,90,6142.75,6142.75,6121.25,6131.5,206,21.5,-11.25
2017-10-19,2017-10-19 15:32:00,2017-10-19 22:58:00,107,6098.0,6111.5,6066.75,6111.0,277,44.75,13.0
2017-10-20,2017-10-20 15:30:00,2017-10-20 22:44:00,54,6131.5,6136.0,6116.5,6124.25,113,19.5,-7.25
2017-10-23,2017-10-23 15:30:00,2017-10-23 22:49:00,101,6131.5,6131.5,6074.0,6074.75,207,57.5,-56.75
2017-10-24,2017-10-24 15:30:00,2017-10-24 22:47:00,91,6093.0,6103.75,6070.5,6087.0,202,33.25,-6.0
2017-10-25,2017-10-25 15:30:00,2017-10-25 22:50:00,204,6083.5,6100.0,6024.0,6077.0,610,76.0,-6.5
2017-10-26,2017-10-26 15:30:00,2017-10-26 22:40:00,124,6069.0,6109.5,6048.5,6104.5,685,61.0,35.5
2017-10-27,2017-10-27 15:31:00,2017-10-27 22:59:00,241,6147.25,6238.0,6141.0,6228.0,1465,97.0,80.75
2017-10-30,2017-10-30 14:32:00,2017-10-30 21:50:00,176,6228.5,6263.25,6216.5,6234.25,662,46.75,5.75
2017-10-31,2017-10-31 14:31:00,2017-10-31 21:50:00,104,6256.5,6271.0,6243.0,6265.5,396,28.0,9.0
2017-11-01,2017-11-01 14:30:00,2017-11-01 21:59:00,154,6287.0,6289.5,6237.0,6248.0,478,52.5,-39.0
2017-11-02,2017-11-02 14:30:00,2017-11-02 21:59:00,252,6253.25,6274.25,6206.0,6271.25,934,68.25,18.0
2017-11-03,2017-11-03 14:31:00,2017-11-03 21:55:00,232,6272.75,6309.75,6249.0,6301.0,623,60.75,28.25
2017-11-06,2017-11-06 15:30:00,2017-11-06 22:50:00,201,6302.5,6330.75,6300.75,6328.0,480,30.0,25.5
2017-11-07,2017-11-07 15:30:00,2017-11-07 22:51:00,155,6323.25,6340.5,6313.25,6331.25,501,27.25,8.0
2017-11-08,2017-11-08 15:30:00,2017-11-08 22:59:00,167,6334.25,6360.25,6323.75,6354.75,355,36.5,20.5
2017-11-09,2017-11-09 15:30:00,2017-11-09 22:45:00,205,6307.25,6331.25,6262.75,6326.75,648,68.5,19.5
2017-11-10,2017-11-10 15:30:00,2017-11-10 22:55:00,83,6310.75,6329.0,6302.25,6323.0,162,26.75,12.25
2017-11-13,2017-11-13 15:30:00,2017-11-13 22:14:00,124,6303.0,6340.5,6302.0,6328.0,294,38.5,25.0
2017-11-14,2017-11-14 15:30:00,2017-11-14 22:49:00,164,6311.0,6317.25,6280.0,6309.25,774,37.25,-1.75
2017-11-15,2017-11-15 15:30:00,2017-11-15 22:51:00,184,6281.0,6297.5,6247.0,6280.0,774,50.5,-1.0
2017-11-16,2017-11-16 15:30:00,2017-11-16 22:47:00,205,6314.0,6373.5,6314.0,6360.0,667,59.5,46.0
2017-11-17,2017-11-17 15:30:00,2017-11-17 22:57:00,141,6361.25,6364.25,6325.25,6326.75,385,39.0,-34.5
2017-11-20,2017-11-20 15:30:00,2017-11-20 22:53:00,117,6336.5,6346.25,6322.0,6333.75,301,24.25,-2.75
2017-11-21,2017-11-21 15:30:00,2017-11-21 22:53:00,192,6358.75,6401.25,6357.0,6396.5,677,44.25,37.75
2017-11-22,2017-11-22 15:30:00,2017-11-22 22:45:00,134,6404.0,6411.5,6393.0,6405.25,496,18.5,1.25
2017-11-23,2017-11-23 15:39:00,2017-11-23 18:55:00,24,6405.75,6405.75,6397.75,6400.5,33,8.0,-5.25
2017-11-24,2017-11-24 15:30:00,2017-11-24 19:14:00,94,6411.5,6432.0,6410.0,6430.0,311,22.0,18.5
2017-11-27,2017-11-27 15:30:00,2017-11-27 22:55:00,182,6426.5,6440.5,6412.0,6429.5,582,28.5,3.0
2017-11-28,2017-11-28 15:30:00,2017-11-28 22:58:00,311,6440.25,6446.5,6406.0,6440.75,2100,40.5,0.5
2017-11-29,2017-11-29 15:30:00,2017-11-29 22:56:00,382,6434.0,6434.0,6301.0,6322.25,3349,133.0,-111.75
2017-11-30,2017-11-30 15:30:00,2017-11-30 22:45:00,342,6355.75,6394.75,6343.5,6370.0,2815,51.25,14.25
2017-12-01,2017-12-01 15:30:00,2017-12-01 22:59:00,370,6342.75,6386.75,6264.5,6362.25,5125,122.25,19.5
2017-12-04,2017-12-04 15:30:00,2017-12-04 22:59:00,397,6396.5,6402.25,6269.25,6278.5,7541,133.0,-118.0
2017-12-05,2017-12-05 15:30:00,2017-12-05 22:59:00,422,6279.25,6358.0,6257.0,6287.25,10216,101.0,8.0
2017-12-06,2017-12-06 15:30:00,2017-12-06 22:59:00,402,6265.0,6325.5,6257.25,6320.0,8315,68.25,55.0
2017-12-07,2017-12-07 15:30:00,2017-12-07 22:59:00,430,6313.75,6354.0,6307.25,6343.25,32829,46.75,29.5
2017-12-08,2017-12-08 15:30:00,2017-12-08 22:59:00,434,6381.75,6398.0,6353.5,6362.25,148990,44.5,-19.5
2017-12-11,2017-12-11 15:30:00,2017-12-11 22:59:00,435,6366.0,6427.75,6365.5,6422.75,154144,62.25,56.75
2017-12-12,2017-12-12 15:30:00,2017-12-12 22:59:00,435,6408.5,6423.25,6390.0,6402.75,205124,33.25,-5.75
2017-12-13,2017-12-13 15:30:00,2017-12-13 22:59:00,435,6429.75,6437.75,6406.75,6417.75,234979,31.0,-12.0
2017-12-14,2017-12-14 15:30:00,2017-12-14 22:59:00,435,6427.5,6443.75,6402.5,6403.5,225509,41.25,-24.0
2017-12-15,2017-12-15 15:30:00,2017-12-15 22:59:00,435,6433.5,6502.75,6423.5,6500.0,240453,79.25,66.5
2017-12-18,2017-12-18 15:30:00,2017-12-18 22:59:00,435,6523.5,6542.0,6513.0,6535.5,180294,29.0,12.0
2017-12-19,2017-12-19 15:30:00,2017-12-19 22:59:00,435,6523.75,6531.5,6479.75,6503.5,242578,51.75,-20.25
2017-12-20,2017-12-20 15:30:00,2017-12-20 22:59:00,435,6519.5,6521.75,6463.25,6484.75,237466,58.5,-34.75
2017-12-21,2017-12-21 15:30:00,2017-12-21 22:59:00,435,6497.75,6520.75,6482.0,6489.25,178570,38.75,-8.5
2017-12-22,2017-12-22 15:30:00,2017-12-22 22:59:00,435,6482.5,6492.0,6467.5,6483.25,135474,24.5,0.75
2017-12-26,2017-12-26 00:00:00,2017-12-26 22:59:00,817,6482.5,6492.0,6432.25,6460.75,117865,59.75,-21.75
2017-12-27,2017-12-27 15:30:00,2017-12-27 22:59:00,434,6459.25,6475.5,6442.0,6452.0,132413,33.5,-7.25
2017-12-28,2017-12-28 15:30:00,2017-12-28 22:59:00,435,6467.0,6467.5,6442.25,6444.75,112498,25.25,-22.25
2017-12-29,2017-12-29 15:30:00,2017-12-29 22:59:00,435,6457.75,6458.0,6383.25,6385.0,179845,74.75,-72.75
2018-01-02,2018-01-02 00:00:00,2018-01-02 22:59:00,846,6405.0,6523.25,6401.5,6515.25,227186,121.75,110.25
2018-01-03,2018-01-03 15:30:00,2018-01-03 22:59:00,435,6526.5,6591.25,6526.0,6583.75,197114,65.25,57.25
2018-01-04,2018-01-04 15:30:00,2018-01-04 22:59:00,435,6607.75,6615.75,6586.5,6606.75,214422,29.25,-1.0
2018-01-05,2018-01-05 15:30:00,2018-01-05 22:59:00,435,6626.0,6671.0,6614.25,6665.75,172590,56.75,39.75
2018-01-08,2018-01-08 15:30:00,2018-01-08 22:59:00,435,6661.5,6690.75,6658.75,6689.0,160409,32.0,27.5
2018-01-09,2018-01-09 15:30:00,2018-01-09 22:59:00,435,6700.25,6707.25,6667.25,6680.75,240825,40.0,-19.5
2018-01-10,2018-01-10 15:30:00,2018-01-10 22:59:00,435,6656.75,6678.0,6628.25,6676.25,260956,49.75,19.5
2018-01-11,2018-01-11 15:30:00,2018-01-11 22:59:00,435,6683.75,6728.75,6672.25,6723.5,185978,56.5,39.75
2018-01-12,2018-01-12 15:30:00,2018-01-12 22:59:00,435,6709.75,6777.75,6703.25,6772.0,210279,74.5,62.25
2018-01-15,2018-01-15 15:30:00,2018-01-15 18:59:00,210,6780.5,6784.0,6773.25,6780.25,11224,10.75,-0.25
2018-01-16,2018-01-16 15:30:00,2018-01-16 22:59:00,435,6809.5,6845.75,6729.25,6761.0,430728,116.5,-48.5
2018-01-17,2018-01-17 15:30:00,2018-01-17 22:59:00,435,6782.25,6834.25,6751.5,6819.5,294690,82.75,37.25
2018-01-18,2018-01-18 15:30:00,2018-01-18 22:59:00,435,6812.75,6838.0,6796.0,6816.0,260175,42.0,3.25
2018-01-19,2018-01-19 15:30:00,2018-01-19 22:59:00,435,6844.5,6857.0,6810.75,6850.0,244393,46.25,5.5
2018-01-22,2018-01-22 15:30:00,2018-01-22 22:59:00,435,6840.75,6941.25,6834.25,6931.75,223394,107.0,91.0
2018-01-23,2018-01-23 15:30:00,2018-01-23 22:59:00,435,6939.25,6981.25,6935.75,6960.0,278817,45.5,20.75
2018-01-24,2018-01-24 15:30:00,2018-01-24 22:59:00,435,6987.75,7004.25,6888.25,6935.75,476312,116.0,-52.0
2018-01-25,2018-01-25 15:30:00,2018-01-25 22:59:00,435,6973.75,6977.75,6902.0,6938.5,353824,75.75,-35.25
2018-01-26,2018-01-26 15:30:00,2018-01-26 22:59:00,435,6962.5,7034.5,6949.25,7031.5,275654,85.25,69.0
2018-01-29,2018-01-29 15:30:00,2018-01-29 22:59:00,435,7014.5,7027.5,6980.0,6995.0,339771,47.5,-19.5
2018-01-30,2018-01-30 15:30:00,2018-01-30 22:59:00,435,6934.0,6969.25,6902.75,6939.75,427956,66.5,5.75
2018-01-31,2018-01-31 15:30:00,2018-01-31 22:59:00,435,6977.75,6991.0,6921.5,6928.5,348606,69.5,-49.25
2018-02-01,2018-02-01 15:30:00,2018-02-01 22:59:00,435,6913.75,6979.5,6884.75,6935.75,396299,94.75,22.0
2018-02-02,2018-02-02 15:30:00,2018-02-02 22:59:00,435,6881.0,6895.75,6752.25,6753.25,514842,143.5,-127.75
