eval_mnq,funded_mnq,target,joint_payout_rate,avg_lifecycle_days,median_days_when_paid,avg_payout_when_paid,mean_net_252,median_net_252,p10_net_252,profit_prob_252,ruin_prob_252,mean_payouts_252,mean_net_60,profit_prob_60,any_payout_60,mean_net_90,profit_prob_90,any_payout_90,mean_net_180,profit_prob_180,any_payout_180
5,10,1500,0.1537890044576523,20.955052005943536,37.0,1595.4498260869382,1429.3316849999737,1491.1919999999402,-990,0.7901666666666667,0.142,1.5828333333333333,107.57068499999868,0.25016666666666665,0.25016666666666665,330.0139859999943,0.42783333333333334,0.42783333333333334,963.6377309999824,0.7353333333333333,0.7375
5,10,2000,0.13447251114413075,21.725482912332836,34.5,1800.0,1330.53,900.0,-990,0.75,0.161,1.3378333333333334,77.595,0.21816666666666668,0.21816666666666668,301.71,0.37433333333333335,0.37433333333333335,904.98,0.6625,0.6633333333333333
5,12,500,0.17459138187221396,19.714338781575037,34.5,1271.2448680850994,1329.4879919999871,1177.6607999999826,-990,0.7605,0.11283333333333333,1.9453333333333334,144.4418759999986,0.31583333333333335,0.31766666666666665,337.64855399999664,0.5005,0.5121666666666667,913.9947491999912,0.7081666666666667,0.8155
5,12,1000,0.16530460624071322,20.023031203566124,35,1408.7203361797667,1402.1964203999858,1301.6267999999857,-990,0.7715,0.124,1.7926666666666666,133.83220919999874,0.292,0.292,340.5582035999965,0.477,0.4771666666666667,957.8368031999903,0.7471666666666666,0.782
5,12,1500,0.15230312035661217,20.524145616641903,35.0,1650.2891707316958,1516.5084791999832,1589.0651999999795,-990,0.7996666666666666,0.14683333333333334,1.5948333333333333,117.3016031999992,0.251,0.251,351.04414919999647,0.43266666666666664,0.43266666666666664,1046.9597171999887,0.7415,0.7435
5,12,2000,0.13818722139673106,20.99665676077266,35.0,1800.0,1426.185,990.0,-990,0.7675,0.16933333333333334,1.4056666666666666,85.725,0.22216666666666668,0.22216666666666668,300.405,0.3785,0.3785,959.67,0.682,0.683
7,7,500,0.21025260029717682,14.603268945022288,25.0,1010.2879971731401,1759.5812381999847,1634.4521999999763,-936.5778000000031,0.8086666666666666,0.10333333333333333,3.2385,256.9732223999972,0.5241666666666667,0.5481666666666667,514.6142795999951,0.6323333333333333,0.7466666666666667,1225.3461155999892,0.7595,0.9143333333333333
7,7,1000,0.19836552748885586,15.524145616641903,28.0,1240.8810168539258,2094.1649003999814,1994.95349999999,-633.4326000000083,0.8495,0.08483333333333333,2.8561666666666667,290.7219374999972,0.4756666666666667,0.47583333333333333,601.3279676999945,0.6851666666666667,0.696,1448.165300399987,0.8096666666666666,0.9035
7,7,1500,0.17719167904903418,16.741827637444278,32,1578.378384905651,2250.89026289998,2032.3151999999614,-990,0.8305,0.1175,2.2798333333333334,253.60464299999782,0.36483333333333334,0.36483333333333334,602.2463684999946,0.5935,0.5935,1561.4161904999862,0.8351666666666666,0.8533333333333334
7,7,2000,0.15787518573551262,17.832838038632985,36,1800.0,2084.535,2160.0,-990,0.8128333333333333,0.14566666666666667,1.8683333333333334,166.875,0.288,0.288,503.97,0.5015,0.5015,1419.255,0.7878333333333334,0.794
7,8,500,0.2024517087667162,14.462109955423477,25,1108.2605152293677,1959.5053416000299,1834.329600000033,-942.1487999999823,0.8166666666666667,0.10433333333333333,3.143666666666667,285.74297760000496,0.5138333333333334,0.5258333333333334,566.1587400000091,0.6468333333333334,0.7331666666666666,1359.327136800021,0.7743333333333333,0.908
7,8,1000,0.18945022288261515,15.025260029717682,26.0,1299.8013458823655,2148.775696800033,2070.0,-990,0.8321666666666667,0.10666666666666667,2.7866666666666666,318.0087648000047,0.4728333333333333,0.4735,603.5981064000097,0.6643333333333333,0.6713333333333333,1476.269688000023,0.79,0.8806666666666667
